sep=,
"Time","Temp. Mandata","Temp. Ripresa","Temp. Saturazione","Temp. Esterna","SP Temp. Mand.","SP Temp. Mand. Comp.","Mod. V. Mandata","Mod. V. Ripresa"
2025-10-15 00:00:00,17.6 °C,20.8 °C,17.6 °C,10.2 °C,28 °C,28.0 °C,0,0
2025-10-15 00:30:00,17.2 °C,20.7 °C,17.2 °C,10.2 °C,28 °C,28.0 °C,0,0
2025-10-15 01:00:00,16.6 °C,20.5 °C,16.7 °C,9.6 °C,28 °C,28.0 °C,0,0
2025-10-15 01:30:00,16.9 °C,20.8 °C,16.6 °C,9.6 °C,28 °C,28.0 °C,0,0
2025-10-15 02:00:00,17.2 °C,20.7 °C,16.1 °C,8.9 °C,28 °C,28.0 °C,0,0
2025-10-15 02:30:00,16.9 °C,20.5 °C,15.8 °C,8.3 °C,28 °C,28.0 °C,0,0
2025-10-15 03:00:00,16.9 °C,20.6 °C,16.1 °C,8.1 °C,28 °C,28.0 °C,0,0
2025-10-15 03:30:00,17.0 °C,20.7 °C,16.4 °C,7.9 °C,28 °C,28.0 °C,0,0
2025-10-15 04:00:00,16.9 °C,20.7 °C,16.8 °C,7.9 °C,28 °C,28.0 °C,0,0
2025-10-15 04:30:00,17.1 °C,20.8 °C,17.3 °C,8.5 °C,28 °C,28.0 °C,0,0
2025-10-15 05:00:00,17.4 °C,20.8 °C,17.1 °C,10.0 °C,28 °C,28.0 °C,0,0
2025-10-15 05:30:00,18.1 °C,21.0 °C,16.8 °C,9.9 °C,28 °C,28.0 °C,0,0
2025-10-15 06:00:00,28.0 °C,21.5 °C,29.2 °C,9.7 °C,28 °C,28.0 °C,66,55
2025-10-15 06:30:00,31.0 °C,21.8 °C,32.8 °C,10.2 °C,28 °C,28.0 °C,60,49
2025-10-15 07:00:00,31.5 °C,21.6 °C,33.0 °C,10.2 °C,28 °C,28.0 °C,59,48
2025-10-15 07:30:00,28.7 °C,21.2 °C,30.3 °C,9.9 °C,28 °C,28.0 °C,64,51
2025-10-15 08:00:00,25.9 °C,21.1 °C,27.3 °C,11.2 °C,28 °C,28.0 °C,62,52
2025-10-15 08:30:00,25.8 °C,21.0 °C,27.6 °C,12.0 °C,28 °C,28.0 °C,60,50
2025-10-15 09:00:00,28.4 °C,20.9 °C,30.0 °C,12.7 °C,28 °C,28.0 °C,59,45
2025-10-15 09:30:00,30.3 °C,20.7 °C,31.5 °C,12.2 °C,28 °C,28.0 °C,65,55
2025-10-15 10:00:00,30.5 °C,21.1 °C,31.3 °C,12.6 °C,28 °C,28.0 °C,58,48
2025-10-15 10:30:00,28.2 °C,20.9 °C,28.6 °C,12.5 °C,28 °C,28.0 °C,56,48
2025-10-15 11:00:00,25.3 °C,20.5 °C,26.4 °C,13.3 °C,28 °C,28.0 °C,59,48
2025-10-15 11:30:00,24.9 °C,20.5 °C,25.9 °C,14.1 °C,28 °C,28.0 °C,59,51
2025-10-15 12:00:00,27.6 °C,21.1 °C,28.2 °C,14.8 °C,28 °C,28.0 °C,64,55
2025-10-15 12:30:00,30.9 °C,20.9 °C,30.8 °C,15.0 °C,28 °C,28.0 °C,60,49
2025-10-15 13:00:00,30.7 °C,20.8 °C,30.7 °C,15.0 °C,28 °C,28.0 °C,63,54
